student_id,gender,age,province,college,major,total_courses,avg_score,weighted_avg_score,avg_gpa,weighted_gpa,fail_count,total_credits,library_visits,library_days,avg_visit_hour,total_online_duration,avg_online_duration,online_records,total_attendance,task_participation
pjxyqwbk620,男,22.0,61,网络与信息安全学院,网络工程,130,76.5923076923077,0.0,2.4746153846153844,0.0,17,182.0,0.0,0.0,0.0,653.76,93.39428571428572,7.0,0.0,0.0
pjxxxxbj945,男,22.0,13,通信工程学院,通信工程,87,93.62068965517241,0.0,3.6,0.0,1,178.1,383.0,183.0,13.548302872062663,2402.39,343.1985714285714,7.0,0.0,0.0
pjxsqxbj831,男,22.0,42,经济与管理学院,人力资源管理,116,77.31896551724138,0.0,2.555172413793103,0.0,15,162.5,0.0,0.0,0.0,1530.63,218.6614285714286,7.0,0.0,0.0
pjxyqxbj084,男,24.0,53,空间科学与技术学院,探测制导与控制技术,104,85.50961538461539,0.0,3.097115384615385,0.0,0,149.5,0.0,0.0,0.0,3130.89,447.27,7.0,0.0,0.0
pjxrqxbj971,男,22.0,62,数学与统计学院,信息与计算科学,92,97.71739130434783,0.0,3.2804347826086957,0.0,1,145.9,0.0,0.0,0.0,6554.41,936.3442857142857,7.0,0.0,0.0
pjxyqwbk920,男,22.0,61,网络与信息安全学院,网络工程,161,65.64596273291926,0.0,1.953416149068323,0.0,46,244.3,0.0,0.0,0.0,2810.05,401.4357142857143,7.0,0.0,0.0
pjxyqxbj569,男,22.0,45,微电子学院,微电子科学与工程,117,82.03418803418803,0.0,2.9145299145299144,0.0,5,153.5,0.0,0.0,0.0,3192.6,456.0857142857143,7.0,0.0,0.0
pjxyqxbl816,男,22.0,61,微电子学院,微电子科学与工程,126,83.71428571428571,0.0,2.6206349206349207,0.0,11,158.4,0.0,0.0,0.0,3980.53,568.6471428571429,7.0,0.0,0.0
pjxyqxbj694,男,22.0,44,电子工程学院,电子信息工程,108,88.22222222222223,0.0,3.3231481481481477,0.0,0,153.0,0.0,0.0,0.0,894.11,149.01833333333335,6.0,0.0,0.0
pjxyqxbk969,男,23.0,37,通信工程学院,通信工程,110,88.03636363636363,0.0,3.3072727272727276,0.0,1,147.5,0.0,0.0,0.0,2328.77,332.68142857142857,7.0,0.0,0.0
pjxsqxbj900,男,22.0,41,经济与管理学院,信息管理与信息系统,112,90.91071428571429,0.0,3.5223214285714284,0.0,0,135.5,0.0,0.0,0.0,2787.4,398.2,7.0,0.0,0.0
pjxqqxbj988,男,23.0,14,人文学院,哲学,92,92.48913043478261,0.0,3.571739130434783,0.0,0,143.0,0.0,0.0,0.0,2525.39,360.77,7.0,0.0,0.0
pjxyqxbl970,女,21.0,61,电子工程学院,电子信息工程,109,90.33944954128441,0.0,3.485321100917431,0.0,0,156.7,0.0,0.0,0.0,1784.65,254.95000000000002,7.0,0.0,0.0
pjxyqxbj969,男,23.0,45,光电工程学院,电子科学与技术,120,84.875,0.0,2.859166666666667,0.0,4,164.3,0.0,0.0,0.0,990.47,141.49571428571429,7.0,0.0,0.0
pjxyqwbk762,男,23.0,61,人工智能学院,人工智能,113,84.32743362831859,0.0,3.0026548672566373,0.0,4,159.5,0.0,0.0,0.0,2968.67,424.0957142857143,7.0,0.0,0.0
pjxuqwbj783,男,22.0,14,机电工程学院,自动化,111,92.09009009009009,0.0,3.636036036036036,0.0,0,152.0,1022.0,541.0,12.526418786692759,1820.49,260.07,7.0,0.0,0.0
pjxxztfj982,男,27.0,32,通信工程学院,信息工程（第二学士学位）,24,91.25,76.21518987341773,2.495833333333333,2.642405063291139,3,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pjxyqxbj279,男,23.0,14,通信工程学院,通信工程,109,94.76146788990826,0.0,3.7467889908256877,0.0,0,147.5,0.0,0.0,0.0,2511.2400000000002,358.74857142857144,7.0,0.0,0.0
pjxyqxbk208,男,22.0,61,电子工程学院,信息对抗技术,115,86.56521739130434,0.0,3.258260869565217,0.0,2,161.0,0.0,0.0,0.0,2507.04,313.38,8.0,0.0,0.0
pjxyqwbk815,女,23.0,61,网络与信息安全学院,网络工程,112,84.07142857142857,0.0,3.0464285714285713,0.0,3,146.5,0.0,0.0,0.0,7769.34,971.1675,8.0,0.0,0.0
pjwrqxbj998,男,22.0,13,先进材料与纳米科技学院,材料科学与工程,110,84.88181818181818,0.0,3.0990909090909087,0.0,2,159.5,0.0,0.0,0.0,5157.9,736.842857142857,7.0,0.0,0.0
